Speed,EncodedPolyLine
37.9,qojxFpfdbMrN|LlO`NtTtQ~FtClClAv@Ar@k@XkAQsBsAqDgB}@aBx@k@bCZnC
34.18,kpjxFdfdbMfObMjObNtOjL`G`ErCzAlAVv@UXa@`@w@NeAKiA_@s@o@]UC
34.8,mizwFrndbM_HvKuC~C_PhLqWpQwKrHwBxAeBh@mBPoCKmBg@yBkAeRwOgFqDqGwFmDgDwE{DiJyHqDkCsGmE{DsCwCmByGoE}AcAmAo@
29.2,cv~vFpqpcMqI_@_JoA{Dk@mY}Ig^yKwL{DyCmA{]_UgDyC_BqCs@oCUuBGkCDqDf@wYSgI]sDsAgIaByGcFuM
39.77,gv~vF~rpcMhF@bE[bDWbD@vCb@|D~@dCf@`Cv@jCjA~CzAhDfCrDjDfJ~IhDhDxB~AlDlBdEdArDp@jC|BjGvEtBjArCC|BmAtA_Cj@gDXgI^mCnBkD`AiC
47.85,gv~vF~rpcMhF@bE[bDWbD@vCb@|D~@dCf@`Cv@jCjA~CzAhDfCrDjDfJ~IhDhDxB~AlDlBdEdArDp@jC|Bt@zBCjDeB~DgAzA
1.86,ixmxFjxsaMyPjBcKo@mJoDwKuJ{FkJkHkP_DcJiCoKcE_VgDsQ_BqNXcP
29.83,wcuwF|}nbMTkB?qAwAuRd@qEbBqKnMk]vB{Ir@_EtCwWLaF
36.04,qitwFzckbMDhDkEh]wB~ImM|\_DtRnApR]nDoCnI
37.9,_ucwFfokcM~FxO|BdKx@nHTzFw@vc@F~Dh@|BzAhDv@|@~`@dW`DtAbObFv]rKpUhHfFvAtMtBfH`@
47.22,wvzvFpegcMrAfeAc@vHiCtNSrOv@|HxGf_@|Db^lAp\
24.23,wvzvFnegcMGmJ~@kKpAoGxPki@~AyJbA}Kf@ac@`BeOzHgY
39.15,{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR
55.3,ix|vFjbucMp@kD|Ncb@pP_ZzAsB
52.2,onyvFni~bMrAfG|@lEfApEjDlOt@nDV`EBdDM~CKlD_@hFa@`C}Il\
47.85,}myvFpi~bMvAjG`AnE`AlExDlPr@~CXxDFlFO`DYtBg@xE_@|BiIr\
39.15,egzvFt|mcMvA|u@
6.84,av~vFpqpcMxE?`EYzCUfD@|CZtDdAnCd@`Cz@rCdAzCzAvDlCzNlNfEfEbChBhD~AjJnBnVzDtA]|@cBD_Bq@qAaBD
14.91,m}{vFr{qcMdEbAtDh@vC]nEmBtOwGrCyC
59.03,ibyvFzyxcMeQsQmJwGiQcIid@qU{GmBsKgC{HyHuCsGcA{E_@mH\eCjCoLaCxK
62.14,sezvFtsocM_Bav@
39.77,_xzvF|fgcMEgIZcInAkIhBqG|FwQlFyQtA{F|@_JVqIRuXd@aIzAyKrByItDoM
57.17,ys{vFrzrcM{LzRuRdf@sAvEQv@[lB
34.18,iy|vFraucMk@bFo@tKcAnHy@tCsC|F}OrQkC`EkCjFuFfLsGbPgl@ptA
62.14,at{vFvzrcMbQsVlP{UjCkFbBsFxAkJ\{HKiS
41.01,ajzwFtmdbMmHhLyBbCkEhDiQrLsOjKcOjKcCx@_DJmC[{Am@}A_AsFyEsJkIgPkM{BiBuDiDkFiF{DsCuDaCqC_BqEuDeUwOcAkA
41.01,{izwF|mdbMqHjLwB~BmEhDgQpLqOnKgOjK_Cv@eDNmCY_Bo@eBiAmFsEyJkIcPmM_D}DcAkAiG}HsBwB{CqDcAg@_AFi@Ve@|@]hBMjBs@zD_AnDgD`KcDhKeEpMs@vAqAlB{AnE
37.9,mizwFrndbM_HvKuC~C_PhLqWpQwKrHwBxAeBh@mBPoCKmBg@yBkAeRwOgFqDqGwFuDsCcAaAkOgJaBc@{Bn@w@~@u@hAi@pAiFvMoCnHqD~Kk@xCYtCmA|D
34.18,{}_xFzcfbMqAvLTxA`@b@t@Vj@On@u@n@aBp@mBp@{@bAi@pAKbGUjCErBTvBf@dB|@rAdAf@v@tAnC
49.71,ii_xFnvkaMiZF}`@h@wL?kGf@yEjA{E`CgDbCmBfB{BhCyChFcBfEwBlH_AnG{@bK
52.82,ki_xFtwkaMnZH|BM|Ce@bFsA??vCo@bJm@t@a@X]XsAFg@Aq@OgAkFgPw@wI
49.09,eecxFrwmaMViEx@cJz@eEtBaHbBoD`CwD|CkDjDkC|EkCnBs@rCq@~Eg@fy@m@|P?
49.71,ymyvFvi~bMgC}K_Pms@sBqJs@{C
45.98,gnyvF~i~bMcCsKaPys@wBuJo@yC
55.92,ahzvFjx{bM_Kyc@cBaI{BgHcBgC{F_EyDaDkMiJ
49.09,uhzvFjx{bM}J{c@aB{HkCqHqAqBaG}DaEoCwLsJ
42.87,qoyvF`j~bM{BgKeP}s@yBsJQu@[wA
39.77,{nyvFpj~bMaC{KcP{s@qBwJw@yC
